StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,timing_intro_First Click,timing_intro_Last Click,timing_intro_Page Submit,timing_intro_Click Count,browser_data_Browser,browser_data_Version,browser_data_Operating System,browser_data_Resolution,Q542,Q598,Q726,timing_agree_First Click,timing_agree_Last Click,timing_agree_Page Submit,timing_agree_Click Count,Q830,Q751,Q516_1,Q516_2,Q516_3,Q516_4,Q516_5,Q770,Q770_156_TEXT,Q831,Q831_156_TEXT,timing_ontrack_First Click,timing_ontrack_Last Click,timing_ontrack_Page Submit,timing_ontrack_Click Count,Q831.1,Q832,Q838,Q839,Q843_1,Q843_2,Q843_3,Q851_1,Q851_2,Q851_3,Q851_4,Q851_5,Q851_6,Q851_7,Q851_8,Q851_9,Q851_10,Q851_11,Q849,Q850,Q845,Q847,Q848,Q844,Q832.1,timing_end_First Click,timing_end_Last Click,timing_end_Page Submit,timing_end_Click Count,hashed_id
2022-03-18 21:01,2022-03-18 21:04,IP Address,100,187,True,2022-03-18 21:04,R_3Rl0EuKKCs4k3iD,,,,,anonymous,EN,5.482,12.435,15.972,2,Edge,99.0.1150.36,Windows NT 10.0,1368x912,Agree,Agree,Strongly agree,3.947,9.64,10.956,3,Yes,Agree,5,2,0,-5,5,"University resources,Study tips,Information about CS related clubs,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,2.327,35.557,38.222,13,Somewhat agree,Somewhat agree,I did not get to provide voice reflections,Neither agree nor disagree,5.0,-4.6,-4.7,Unsure,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,No,Through text (luckily I got both options and I always chose text).,Around 15 minutes max.,No,,,,"Yes, I am willing to be contacted",12.819,12.819,14.494,1,cc8b2d294ee3b03609d1a2124a68c0e9651aac4c2bde304242e77a9f35dbfc6c
2022-03-18 21:33,2022-03-18 21:54,IP Address,100,1276,True,2022-03-18 21:54,R_sB8Zsb81BZDzcEp,,,,,anonymous,EN,4.333,38.601,45.133,10,Chrome,99.0.4844.74,Macintosh,1440x900,Agree,Somewhat agree,Strongly agree,24.125,32.844,33.925,3,Yes,Strongly agree,2,4,Prefer not to answer,1,Prefer not to answer,"Study tips,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,7.664,281.658,284.835,11,Disagree,Agree,Somewhat disagree,Somewhat agree,-2.0,5.0,-2.0,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,No,No,Unsure,Unsure,I start off by watching the videos and taking notes. Then I rewatch them to ensure I get a sold understanding of the material and then write up my response  (my understanding of the material).,30-45 minutes,No,,,"I really likes this course, however, I really thought that there was not enough office hours for us. Only Michael had office hours and they conflicted with my classes and so had never the chance to attend those and without any TA office hours I found myself lost during many of the labs without much guidance or help but piazza which is not the best and quickest way to seek help.","No, I am not willing to be contacted",13.187,13.187,14.575,1,7f71ae0dfae1eeef39b2872380110ada6fe59073b97de798f6aa781721b14540
2022-03-18 22:33,2022-03-18 22:36,IP Address,100,181,True,2022-03-18 22:36,R_24bKtT6RM4TVKAe,,,,,anonymous,EN,1.357,1.357,30.444,1,Firefox,98,Ubuntu,1920x1080,Strongly agree,Strongly disagree,Disagree,4.242,13.363,13.99,5,Yes,Agree,1,-5,5,0,5,FAQs about assignments / homework,,I would have liked to receive weekly reminder emails.,,1.99,45.379,47.475,14,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5.0,5.0,-5.0,No,No,No,No,No,No,No,No,No,No,No,bulshitting my way through or not doing them at all,as little as possible,No,,,,"No, I am not willing to be contacted",1.679,2.411,3.5,3,82cb37383c7dfe61c1eedd711e72101415c7636d6767497cab0861800315e2af
2022-03-19 7:23,2022-03-19 7:58,IP Address,100,2095,True,2022-03-19 7:58,R_3lPtOW2qXJx4XlB,,,,,anonymous,EN,960.52,1143.573,1145.227,9,Safari,15.3,Macintosh,1440x900,Somewhat agree,Somewhat disagree,Strongly agree,2.962,19.0,20.226,4,Yes,Strongly agree,5,-5,-5,-5,5,"Study tips,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,7.7,67.266,69.562,15,Strongly agree,Disagree,Strongly agree,Strongly agree,-5.0,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,by myself,1h,No,,,no,"No, I am not willing to be contacted",27.795,39.789,41.355,2,cc571e5644a7b455ffaf6b601416c14d52ee881d5e55658d2c32c9c2737fea11
2022-03-19 8:03,2022-03-19 8:11,IP Address,100,481,True,2022-03-19 8:11,R_1l6jWKLePfivqlk,,,,,anonymous,EN,103.204,116.138,117.031,4,Chrome,99.0.4844.74,Macintosh,1440x900,Somewhat agree,Agree,Agree,10.163,18.8,21.12,4,Yes,Agree,-1,3,-4,-3,1,"Study tips,Information about CS related clubs,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,2.364,125.941,130.268,30,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,0.1,5.0,0.0,Unsure,Yes,Unsure,Unsure,Yes,Yes,Unsure,Yes,Yes,Unsure,Yes,reviewing notes and using slides,10 minutes,Yes,"'-did not allow re- recordings, word count did not allow me to submit, costing me to lose my previous recordings when i clicked submit, making me redo the whole thing over again, not just once, a couple times.",Yes,no,"No, I am not willing to be contacted",3.35,19.002,36.375,6,92f589ade275e6456b927fb70538bdfa9f092fc1f84871ccda1fa14d9dd8fc24
2022-03-19 10:27,2022-03-19 10:31,IP Address,100,245,True,2022-03-19 10:31,R_06CqgxlX9R4NV2V,,,,,anonymous,EN,1.695,24.92,38.487,5,Chrome,99.0.4844.51,Windows NT 10.0,2560x1080,Disagree,Disagree,Somewhat disagree,8.891,16.442,17.239,3,Yes,Somewhat agree,-2,-4,-5,3,5,"Information about CS related clubs,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,2.39,37.49,40.014,12,Agree,Somewhat agree,Strongly disagree,Disagree,4.0,2.3,-5.0,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Watching videos are I am writing up the reflection,10-20min,Yes,"If the page reloads or something happens, all the written text disappears.",Yes,,"No, I am not willing to be contacted",2.071,2.071,2.941,1,c5467d92d0e271800b07ed6a436f221373e6f2bc22d096ea325ffacf86edd4fd
2022-03-19 11:17,2022-03-19 11:21,IP Address,100,253,True,2022-03-19 11:21,R_2ckj0RMkBpS2vjB,,,,,anonymous,EN,1.691,18.304,22.322,5,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,85.338,86.815,87.611,3,Yes,Somewhat agree,0,0,0,0,3,"Study tips,More practice content",,I would have liked to receive weekly reminder emails.,,3.341,38.957,39.165,16,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,-5.0,5.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Voice Reflections,5-10 minutes,No,,,Just provide options whether voice or written so its students can choose their comfort.,"Yes, I am willing to be contacted",3.609,3.609,4.514,1,a3f9adedfb6494fb5f0ffea75249d632887e0003c4f6071d0b961ca348f2ff2c
2022-03-19 13:32,2022-03-19 13:37,IP Address,100,304,True,2022-03-19 13:37,R_2xRVOnJQYSIdWiO,,,,,anonymous,EN,6.225,66.995,70.138,5,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Disagree,Agree,Strongly agree,5.907,13.35,14.234,3,Yes,Somewhat agree,0,0,0,0,0,"Study tips,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,2.38,64.032,67.455,15,Somewhat agree,Neither agree nor disagree,I did not get to provide voice reflections,Neither agree nor disagree,3.0,0.0,-3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,Unsure,by text,Roughly 15-20 mins,No,,,No,"No, I am not willing to be contacted",15.253,15.253,19.191,1,e7f1b4e3e918179b29ea4364036b5ebe175702a67fad91f84000f0ddc86ef528
2022-03-19 13:48,2022-03-19 13:57,IP Address,100,593,True,2022-03-19 13:57,R_1jpsT5yjnYznM4l,,,,,anonymous,EN,1.451,65.966,72.232,9,Firefox,98,Windows NT 10.0,1920x1080,Somewhat disagree,Somewhat agree,Agree,7.776,19.3,21.458,3,Yes,Disagree,3,2,3,2,5,"FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,5.099,141.868,145.116,10,Disagree,Disagree,Somewhat disagree,Somewhat agree,2.0,3.0,-4.0,Yes,Yes,Unsure,Unsure,Unsure,Yes,Unsure,Yes,Unsure,Unsure,Unsure,Voice,20min-50min,Yes,No text capture. Always have a word count 1.,No,It is weird to keep a same words limit since some videos are long and some are short.,"No, I am not willing to be contacted",22.457,22.457,30.025,1,4b596d6e8626e7f98c4a803e81020b5f3df9df8646b3a547ce81e0adbf88717e
2022-03-19 13:59,2022-03-19 14:05,IP Address,100,316,True,2022-03-19 14:05,R_1ODGP7j0REo7Hbv,,,,,anonymous,EN,2.034,15.345,18.731,4,Firefox,98,Ubuntu,1920x1080,Somewhat disagree,Disagree,Neither agree nor disagree,2.843,35.241,36.701,10,Yes,Disagree,3,-2,-5,-5,2,"Information about CS related clubs,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,3.106,73.307,75.883,14,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,-2.8,5.0,-1.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I listen to the lectures and recording videos, make notes and summarize.",1 hour max.,No,,,,"No, I am not willing to be contacted",4.589,4.589,12.599,1,5f064cf98c51bb26481a351cfeb4fd2e0e8ae8c9dc6e09ced8d6d0332ed08b57
